AGIC SortID,Taxable Year,AGIC,County,All Returns,All Joint Returns,All Taxable Returns,Dependents On Returns,Adjusted Gross Income,Tax Assessed
5,2011,"9,000 to 11,999",Contra Costa,16775,2106,2187,7652,"175,658,000","232,000"
6,2011,"12,000 to 14,999",Contra Costa,16641,2437,4496,9558,"224,440,000","310,000"
7,2011,"15,000 to 17,999",Contra Costa,15856,2814,6331,10595,"261,333,000","504,000"
8,2011,"18,000 to 20,999",Contra Costa,15260,3093,7011,10922,"297,449,000","807,000"
9,2011,"21,000 to 23,999",Contra Costa,14247,3280,6650,10575,"320,195,000","1,206,000"
10,2011,"24,000 to 26,999",Contra Costa,13771,3343,6795,10257,"350,974,000","1,838,000"
11,2011,"27,000 to 29,999",Contra Costa,13033,3373,6619,10260,"371,395,000","2,404,000"
12,2011,"30,000 to 34,999",Contra Costa,20272,5782,10736,16237,"657,892,000","5,231,000"
13,2011,"35,000 to 39,999",Contra Costa,18806,5847,11281,14653,"704,384,000","7,388,000"
14,2011,"40,000 to 49,999",Contra Costa,33797,11514,23737,25672,"1,517,498,000","21,006,000"
15,2011,"50,000 to 59,999",Contra Costa,28099,11164,23077,21164,"1,539,788,000","27,506,000"
16,2011,"60,000 to 69,999",Contra Costa,23118,10698,20812,17642,"1,498,341,000","32,201,000"
17,2011,"70,000 to 79,999",Contra Costa,19387,10178,18379,15082,"1,451,300,000","36,956,000"
18,2011,"80,000 to 89,999",Contra Costa,16655,9994,16159,13431,"1,413,605,000","39,874,000"
19,2011,"90,000 to 99,999",Contra Costa,14416,9308,14120,12397,"1,367,475,000","41,974,000"
20,2011,"100,000 to 149,999",Contra Costa,47118,35330,46798,45212,"5,738,922,000","218,048,000"
21,2011,"150,000 to 199,999",Contra Costa,22657,19280,22593,24436,"3,895,071,000","188,497,000"
22,2011,"200,000 to 299,999",Contra Costa,17366,15450,17324,20068,"4,167,163,000","241,062,000"
23,2011,"300,000 to 399,999",Contra Costa,5863,5278,5831,7253,"2,009,370,000","131,112,000"
24,2011,"400,000 to 499,999",Contra Costa,2834,2561,2807,3712,"1,260,778,000","88,645,000"
25,2011,"500,000 to 999,999",Contra Costa,4047,3661,4003,5477,"2,724,283,000","201,378,000"
26,2011,"1,000,000 and over",Contra Costa,1842,1630,1834,2506,"5,218,918,000","438,770,000"
1,2011,Zero and Deficit,Del Norte,165,69,,45,"-18,906,000","1,000"
2,2011,"1 to 2,999",Del Norte,288,50,10,78,"380,000",0
3,2011,"3,000 to 5,999",Del Norte,328,32,57,104,"1,494,000","1,000"
4,2011,"6,000 to 8,999",Del Norte,392,72,48,188,"2,952,000","3,000"
5,2011,"9,000 to 11,999",Del Norte,447,91,29,209,"4,712,000","3,000"
6,2011,"12,000 to 14,999",Del Norte,400,77,82,226,"5,394,000","3,000"
7,2011,"15,000 to 17,999",Del Norte,383,95,123,258,"6,294,000","7,000"
8,2011,"18,000 to 20,999",Del Norte,380,109,154,273,"7,392,000","14,000"
9,2011,"21,000 to 23,999",Del Norte,387,115,166,249,"8,701,000","29,000"
10,2011,"24,000 to 26,999",Del Norte,346,127,153,224,"8,831,000","41,000"
11,2011,"27,000 to 29,999",Del Norte,344,128,155,263,"9,808,000","48,000"
12,2011,"30,000 to 34,999",Del Norte,518,198,269,377,"16,842,000","116,000"
13,2011,"35,000 to 39,999",Del Norte,432,202,275,271,"16,136,000","148,000"
14,2011,"40,000 to 49,999",Del Norte,663,342,457,528,"29,583,000","333,000"
15,2011,"50,000 to 59,999",Del Norte,497,316,425,360,"27,299,000","417,000"
16,2011,"60,000 to 69,999",Del Norte,404,266,378,295,"26,113,000","497,000"
17,2011,"70,000 to 79,999",Del Norte,322,242,315,306,"24,128,000","534,000"
18,2011,"80,000 to 89,999",Del Norte,302,232,296,228,"25,670,000","659,000"
19,2011,"90,000 to 99,999",Del Norte,215,173,212,217,"20,312,000","583,000"
20,2011,"100,000 to 149,999",Del Norte,537,481,533,500,"63,413,000","2,374,000"
21,2011,"150,000 to 199,999",Del Norte,108,97,106,74,"18,483,000","941,000"
22,2011,"200,000 to 299,999",Del Norte,65,58,64,32,"15,553,000","980,000"
23,2011,"300,000 to 399,999",Del Norte,,,,,"3,279,000","234,000"
24,2011,"400,000 to 499,999",Del Norte,16,,16,14,"6,662,000","550,000"
25,2011,"500,000 to 999,999",Del Norte,,,,,"3,998,000","335,000"
26,2011,"1,000,000 and over",Del Norte,,,,11,"4,487,000","395,000"
1,2011,Zero and Deficit,El Dorado,1821,760,59,569,"-131,014,000","36,000"
2,2011,"1 to 2,999",El Dorado,2711,358,139,366,"3,433,000","7,000"
3,2011,"3,000 to 5,999",El Dorado,2591,295,634,407,"11,691,000","21,000"
4,2011,"6,000 to 8,999",El Dorado,2656,369,581,568,"19,975,000","30,000"
5,2011,"9,000 to 11,999",El Dorado,2791,466,402,815,"29,381,000","35,000"
6,2011,"12,000 to 14,999",El Dorado,2664,523,721,976,"35,912,000","49,000"
7,2011,"15,000 to 17,999",El Dorado,2529,607,1028,1066,"41,715,000","83,000"
8,2011,"18,000 to 20,999",El Dorado,2342,632,1128,928,"45,590,000","133,000"
9,2011,"21,000 to 23,999",El Dorado,2246,681,1111,1028,"50,541,000","197,000"
10,2011,"24,000 to 26,999",El Dorado,2082,709,994,1006,"53,031,000","261,000"
11,2011,"27,000 to 29,999",El Dorado,1962,754,978,1000,"55,889,000","324,000"
12,2011,"30,000 to 34,999",El Dorado,3109,1260,1608,1699,"100,862,000","708,000"
13,2011,"35,000 to 39,999",El Dorado,2707,1192,1662,1457,"101,466,000","938,000"
14,2011,"40,000 to 49,999",El Dorado,4658,2342,3309,2683,"208,821,000","2,424,000"
15,2011,"50,000 to 59,999",El Dorado,4086,2390,3426,2572,"224,298,000","3,231,000"
16,2011,"60,000 to 69,999",El Dorado,3601,2382,3264,2550,"233,880,000","4,056,000"
17,2011,"70,000 to 79,999",El Dorado,3090,2150,2928,2214,"231,436,000","5,016,000"
18,2011,"80,000 to 89,999",El Dorado,2769,2029,2717,2171,"234,943,000","5,885,000"
19,2011,"90,000 to 99,999",El Dorado,2466,1915,2435,2123,"233,953,000","6,476,000"
20,2011,"100,000 to 149,999",El Dorado,7868,6745,7838,7983,"960,087,000","34,758,000"
21,2011,"150,000 to 199,999",El Dorado,3660,3351,3643,4145,"625,811,000","29,826,000"
22,2011,"200,000 to 299,999",El Dorado,2402,2221,2395,2960,"572,753,000","33,120,000"
23,2011,"300,000 to 399,999",El Dorado,703,635,697,872,"241,239,000","16,022,000"
24,2011,"400,000 to 499,999",El Dorado,310,276,308,417,"137,915,000","9,970,000"
25,2011,"500,000 to 999,999",El Dorado,381,340,379,443,"249,361,000","18,662,000"
26,2011,"1,000,000 and over",El Dorado,153,125,143,197,"418,128,000","23,536,000"
1,2011,Zero and Deficit,Fresno,4474,1712,89,1629,"-468,117,000","35,000"
2,2011,"1 to 2,999",Fresno,11282,1454,419,3729,"14,923,000","10,000"
3,2011,"3,000 to 5,999",Fresno,14054,1630,2370,6931,"64,393,000","76,000"
4,2011,"6,000 to 8,999",Fresno,18049,2251,2470,12658,"136,200,000","118,000"
5,2011,"9,000 to 11,999",Fresno,21101,3031,1640,19038,"220,965,000","132,000"
6,2011,"12,000 to 14,999",Fresno,21192,3620,3728,23269,"285,751,000","207,000"
7,2011,"15,000 to 17,999",Fresno,20405,4035,5328,24996,"336,285,000","376,000"
8,2011,"18,000 to 20,999",Fresno,18462,4456,5748,22732,"359,687,000","634,000"
9,2011,"21,000 to 23,999",Fresno,16716,4606,5104,21609,"375,716,000","906,000"
10,2011,"24,000 to 26,999",Fresno,14818,4462,4846,19712,"377,491,000","1,240,000"
11,2011,"27,000 to 29,999",Fresno,13623,4522,4732,18339,"387,948,000","1,581,000"
12,2011,"30,000 to 34,999",Fresno,19689,6993,7823,25065,"637,676,000","3,511,000"
13,2011,"35,000 to 39,999",Fresno,15388,6202,7481,18332,"575,576,000","4,328,000"
14,2011,"40,000 to 49,999",Fresno,24305,10805,15057,26670,"1,087,579,000","11,218,000"
15,2011,"50,000 to 59,999",Fresno,18139,9495,14124,19421,"994,209,000","14,024,000"
16,2011,"60,000 to 69,999",Fresno,14037,8440,12449,14910,"909,164,000","16,088,000"
17,2011,"70,000 to 79,999",Fresno,11125,7534,10532,11714,"832,655,000","18,048,000"
18,2011,"80,000 to 89,999",Fresno,8693,6471,8440,9357,"737,501,000","18,290,000"
19,2011,"90,000 to 99,999",Fresno,7047,5531,6929,7665,"668,010,000","18,641,000"
20,2011,"100,000 to 149,999",Fresno,18925,16070,18784,20959,"2,278,730,000","84,342,000"
21,2011,"150,000 to 199,999",Fresno,6238,5548,6179,6700,"1,063,020,000","52,376,000"
22,2011,"200,000 to 299,999",Fresno,3602,3155,3547,3709,"859,624,000","50,145,000"
23,2011,"300,000 to 399,999",Fresno,1184,1029,1164,1303,"407,148,000","26,372,000"
24,2011,"400,000 to 499,999",Fresno,576,497,557,618,"255,169,000","17,581,000"
25,2011,"500,000 to 999,999",Fresno,894,783,871,954,"604,543,000","44,236,000"
26,2011,"1,000,000 and over",Fresno,496,378,492,404,"1,177,222,000","89,448,000"
1,2011,Zero and Deficit,Glenn,249,123,,97,"-25,776,000","1,000"
2,2011,"1 to 2,999",Glenn,387,76,21,99,"572,000","2,000"
3,2011,"3,000 to 5,999",Glenn,475,57,90,169,"2,177,000","2,000"
4,2011,"6,000 to 8,999",Glenn,510,80,70,273,"3,830,000","3,000"
5,2011,"9,000 to 11,999",Glenn,559,95,60,353,"5,874,000","6,000"
6,2011,"12,000 to 14,999",Glenn,575,134,112,475,"7,773,000","7,000"
7,2011,"15,000 to 17,999",Glenn,609,164,179,592,"10,078,000","12,000"
8,2011,"18,000 to 20,999",Glenn,539,143,180,558,"10,530,000","19,000"
9,2011,"21,000 to 23,999",Glenn,587,184,195,712,"13,184,000","33,000"
10,2011,"24,000 to 26,999",Glenn,570,207,186,804,"14,503,000","45,000"
11,2011,"27,000 to 29,999",Glenn,500,208,184,597,"14,282,000","64,000"
12,2011,"30,000 to 34,999",Glenn,693,327,271,914,"22,432,000","118,000"
13,2011,"35,000 to 39,999",Glenn,581,301,287,743,"21,773,000","159,000"
14,2011,"40,000 to 49,999",Glenn,922,583,530,1157,"41,075,000","349,000"
15,2011,"50,000 to 59,999",Glenn,650,455,505,728,"35,569,000","460,000"
16,2011,"60,000 to 69,999",Glenn,445,343,395,530,"28,809,000","468,000"
17,2011,"70,000 to 79,999",Glenn,401,319,388,437,"29,986,000","633,000"
18,2011,"80,000 to 89,999",Glenn,245,205,241,252,"20,899,000","533,000"
19,2011,"90,000 to 99,999",Glenn,184,160,181,189,"17,489,000","500,000"
20,2011,"100,000 to 149,999",Glenn,453,395,452,451,"53,814,000","2,142,000"
21,2011,"150,000 to 199,999",Glenn,167,144,166,129,"28,429,000","1,565,000"
22,2011,"200,000 to 299,999",Glenn,76,67,76,59,"18,360,000","1,187,000"
23,2011,"300,000 to 399,999",Glenn,31,28,31,31,"10,756,000","787,000"
24,2011,"400,000 to 499,999",Glenn,31,29,31,14,"13,569,000","1,074,000"
25,2011,"500,000 to 999,999",Glenn,33,27,32,26,"21,965,000","1,797,000"
26,2011,"1,000,000 and over",Glenn,11,11,,10,"16,036,000","1,399,000"
1,2011,Zero and Deficit,Humboldt,1016,331,19,221,"-51,667,000","8,000"
2,2011,"1 to 2,999",Humboldt,1835,208,81,302,"2,406,000","1,000"
3,2011,"3,000 to 5,999",Humboldt,2060,205,319,474,"9,420,000","7,000"
4,2011,"6,000 to 8,999",Humboldt,2347,239,257,639,"17,641,000","12,000"
5,2011,"9,000 to 11,999",Humboldt,2450,320,183,816,"25,772,000","16,000"
6,2011,"12,000 to 14,999",Humboldt,2692,421,605,1083,"36,400,000","27,000"
7,2011,"15,000 to 17,999",Humboldt,2640,444,1236,1140,"43,607,000","74,000"
8,2011,"18,000 to 20,999",Humboldt,2546,513,1350,1265,"49,613,000","132,000"
9,2011,"21,000 to 23,999",Humboldt,2361,541,1230,1289,"53,068,000","204,000"
10,2011,"24,000 to 26,999",Humboldt,2108,620,1120,1165,"53,667,000","283,000"
11,2011,"27,000 to 29,999",Humboldt,2039,651,1077,1256,"58,124,000","371,000"
12,2011,"30,000 to 34,999",Humboldt,2981,1032,1717,1867,"96,699,000","779,000"
13,2011,"35,000 to 39,999",Humboldt,2503,974,1610,1537,"93,830,000","965,000"
14,2011,"40,000 to 49,999",Humboldt,4080,1926,3019,2665,"182,831,000","2,321,000"
15,2011,"50,000 to 59,999",Humboldt,3070,1773,2667,2003,"168,194,000","2,756,000"
16,2011,"60,000 to 69,999",Humboldt,2404,1613,2237,1741,"155,767,000","3,017,000"
17,2011,"70,000 to 79,999",Humboldt,1899,1397,1845,1438,"142,191,000","3,264,000"
18,2011,"80,000 to 89,999",Humboldt,1487,1169,1459,1228,"126,051,000","3,235,000"
19,2011,"90,000 to 99,999",Humboldt,1134,939,1125,922,"107,301,000","3,105,000"
20,2011,"100,000 to 149,999",Humboldt,2627,2215,2604,2114,"313,435,000","12,259,000"
21,2011,"150,000 to 199,999",Humboldt,752,646,742,531,"128,120,000","6,637,000"
22,2011,"200,000 to 299,999",Humboldt,455,384,450,325,"109,699,000","6,667,000"
23,2011,"300,000 to 399,999",Humboldt,130,108,128,102,"44,900,000","2,994,000"
24,2011,"400,000 to 499,999",Humboldt,62,54,60,46,"27,516,000","1,897,000"
25,2011,"500,000 to 999,999",Humboldt,105,72,101,60,"69,478,000","5,204,000"
26,2011,"1,000,000 and over",Humboldt,31,24,31,24,"66,662,000","5,732,000"
1,2011,Zero and Deficit,Imperial,389,161,13,177,"-28,194,000","7,000"
2,2011,"1 to 2,999",Imperial,2575,502,50,1325,"3,470,000",0
3,2011,"3,000 to 5,999",Imperial,3680,696,390,2358,"16,891,000","8,000"
4,2011,"6,000 to 8,999",Imperial,4722,1011,358,4128,"35,564,000","17,000"
5,2011,"9,000 to 11,999",Imperial,5130,1260,215,5605,"53,350,000","16,000"
6,2011,"12,000 to 14,999",Imperial,4344,1295,690,5369,"58,369,000","28,000"
7,2011,"15,000 to 17,999",Imperial,3699,1154,824,4697,"60,946,000","64,000"
8,2011,"18,000 to 20,999",Imperial,3286,1125,844,4107,"64,040,000","99,000"
9,2011,"21,000 to 23,999",Imperial,2820,1115,613,3868,"63,420,000","114,000"
10,2011,"24,000 to 26,999",Imperial,2857,1225,721,4066,"72,724,000","183,000"
11,2011,"27,000 to 29,999",Imperial,2388,1062,627,3462,"67,945,000","201,000"
12,2011,"30,000 to 34,999",Imperial,3287,1629,1001,4750,"106,601,000","435,000"
13,2011,"35,000 to 39,999",Imperial,2426,1263,909,3643,"90,729,000","500,000"
14,2011,"40,000 to 49,999",Imperial,3989,2192,2014,6083,"178,470,000","1,311,000"
15,2011,"50,000 to 59,999",Imperial,2919,1706,2094,4321,"159,864,000","1,829,000"
16,2011,"60,000 to 69,999",Imperial,2434,1441,2121,3556,"157,574,000","2,585,000"
17,2011,"70,000 to 79,999",Imperial,1932,1257,1853,2790,"144,531,000","3,038,000"
18,2011,"80,000 to 89,999",Imperial,1557,1035,1525,2322,"132,094,000","3,412,000"
19,2011,"90,000 to 99,999",Imperial,1295,981,1271,2117,"122,704,000","3,341,000"
20,2011,"100,000 to 149,999",Imperial,2938,2499,2929,4467,"350,725,000","13,036,000"
21,2011,"150,000 to 199,999",Imperial,756,693,754,972,"128,202,000","6,494,000"
22,2011,"200,000 to 299,999",Imperial,353,306,347,384,"84,053,000","5,083,000"
23,2011,"300,000 to 399,999",Imperial,119,97,117,135,"40,682,000","2,766,000"
24,2011,"400,000 to 499,999",Imperial,50,46,50,35,"21,947,000","1,558,000"
25,2011,"500,000 to 999,999",Imperial,89,66,89,83,"63,644,000","4,769,000"
26,2011,"1,000,000 and over",Imperial,49,46,49,53,"106,025,000","8,794,000"
1,2011,Zero and Deficit,Inyo,172,69,,61,"-10,797,000",0
2,2011,"1 to 2,999",Inyo,421,50,,117,"427,000",0
3,2011,"3,000 to 5,999",Inyo,355,42,79,82,"1,594,000","1,000"
4,2011,"6,000 to 8,999",Inyo,329,32,48,88,"2,429,000","2,000"
5,2011,"9,000 to 11,999",Inyo,365,62,32,155,"3,817,000","2,000"
6,2011,"12,000 to 14,999",Inyo,349,64,81,141,"4,715,000","5,000"
7,2011,"15,000 to 17,999",Inyo,353,61,140,207,"5,795,000","9,000"
8,2011,"18,000 to 20,999",Inyo,351,87,161,203,"6,845,000","16,000"
9,2011,"21,000 to 23,999",Inyo,373,103,192,204,"8,411,000","32,000"
10,2011,"24,000 to 26,999",Inyo,276,73,135,179,"7,008,000","36,000"
11,2011,"27,000 to 29,999",Inyo,260,89,126,177,"7,424,000","43,000"
12,2011,"30,000 to 34,999",Inyo,443,152,239,303,"14,367,000","110,000"
13,2011,"35,000 to 39,999",Inyo,380,136,230,251,"14,244,000","147,000"
14,2011,"40,000 to 49,999",Inyo,624,274,481,363,"27,935,000","383,000"
15,2011,"50,000 to 59,999",Inyo,545,295,484,314,"29,915,000","538,000"
16,2011,"60,000 to 69,999",Inyo,421,259,384,259,"27,235,000","574,000"
17,2011,"70,000 to 79,999",Inyo,390,269,381,225,"29,308,000","740,000"
18,2011,"80,000 to 89,999",Inyo,311,244,309,204,"26,350,000","715,000"
19,2011,"90,000 to 99,999",Inyo,248,204,248,183,"23,526,000","727,000"
20,2011,"100,000 to 149,999",Inyo,686,610,685,566,"82,129,000","3,171,000"
21,2011,"150,000 to 199,999",Inyo,199,175,198,164,"33,799,000","1,774,000"
22,2011,"200,000 to 299,999",Inyo,78,69,78,37,"18,191,000","1,096,000"
23,2011,"300,000 to 399,999",Inyo,14,12,14,13,"4,698,000","310,000"
24,2011,"400,000 to 499,999",Inyo,,,,,"3,992,000","297,000"
25,2011,"500,000 to 999,999",Inyo,12,11,12,,"8,613,000","729,000"
26,2011,"1,000,000 and over",Inyo,,,,0,"4,732,000","265,000"
1,2011,Zero and Deficit,Kern,3182,1313,54,1351,"-420,444,000","43,000"
2,2011,"1 to 2,999",Kern,8637,1253,278,2788,"11,157,000","8,000"
3,2011,"3,000 to 5,999",Kern,10722,1228,1894,5145,"49,147,000","37,000"
4,2011,"6,000 to 8,999",Kern,14292,1802,1935,9541,"107,854,000","89,000"
5,2011,"9,000 to 11,999",Kern,17179,2450,1239,15314,"179,580,000","96,000"
6,2011,"12,000 to 14,999",Kern,17521,3138,3005,19152,"236,145,000","151,000"
7,2011,"15,000 to 17,999",Kern,16804,3423,4514,20009,"276,654,000","307,000"
8,2011,"18,000 to 20,999",Kern,15054,3672,4658,17791,"293,018,000","518,000"
9,2011,"21,000 to 23,999",Kern,13247,3747,4060,16855,"297,574,000","712,000"
10,2011,"24,000 to 26,999",Kern,11924,3832,3945,15243,"303,771,000","1,008,000"
11,2011,"27,000 to 29,999",Kern,10991,3827,3736,14804,"313,099,000","1,233,000"
12,2011,"30,000 to 34,999",Kern,15869,6039,6098,20976,"514,703,000","2,705,000"
13,2011,"35,000 to 39,999",Kern,13242,5681,6089,17096,"495,416,000","3,430,000"
14,2011,"40,000 to 49,999",Kern,20423,9690,12137,24172,"914,118,000","8,840,000"
15,2011,"50,000 to 59,999",Kern,16400,8684,12585,18923,"899,138,000","12,271,000"
16,2011,"60,000 to 69,999",Kern,13796,8119,12124,16232,"894,452,000","15,456,000"
17,2011,"70,000 to 79,999",Kern,11273,7299,10670,13315,"843,350,000","18,145,000"
18,2011,"80,000 to 89,999",Kern,8963,6464,8743,10642,"760,453,000","18,633,000"
19,2011,"90,000 to 99,999",Kern,7280,5563,7195,8747,"689,950,000","19,540,000"
20,2011,"100,000 to 149,999",Kern,19443,16619,19374,22746,"2,338,517,000","85,714,000"
21,2011,"150,000 to 199,999",Kern,6495,5821,6477,7110,"1,106,318,000","54,768,000"
22,2011,"200,000 to 299,999",Kern,3167,2848,3159,3188,"750,172,000","44,791,000"
23,2011,"300,000 to 399,999",Kern,885,784,884,896,"303,584,000","20,849,000"
24,2011,"400,000 to 499,999",Kern,379,336,378,399,"168,835,000","12,271,000"
25,2011,"500,000 to 999,999",Kern,571,493,570,500,"383,976,000","30,380,000"
26,2011,"1,000,000 and over",Kern,372,307,372,309,"1,123,117,000","102,912,000"
1,2011,Zero and Deficit,Kings,566,290,,341,"-139,146,000","4,000"
2,2011,"1 to 2,999",Kings,1621,255,44,696,"1,817,000","7,000"
3,2011,"3,000 to 5,999",Kings,1786,207,309,920,"8,146,000","7,000"
4,2011,"6,000 to 8,999",Kings,2219,291,303,1687,"16,768,000","12,000"
5,2011,"9,000 to 11,999",Kings,2407,364,199,2125,"25,283,000","15,000"
6,2011,"12,000 to 14,999",Kings,2506,455,476,2657,"33,794,000","25,000"
7,2011,"15,000 to 17,999",Kings,2563,574,644,3294,"42,312,000","45,000"
8,2011,"18,000 to 20,999",Kings,2462,594,704,3206,"47,993,000","74,000"
9,2011,"21,000 to 23,999",Kings,2251,670,587,3248,"50,493,000","102,000"
10,2011,"24,000 to 26,999",Kings,2163,752,619,3213,"55,146,000","164,000"
11,2011,"27,000 to 29,999",Kings,2054,738,581,3380,"58,490,000","201,000"
12,2011,"30,000 to 34,999",Kings,2907,1205,929,4557,"94,164,000","405,000"
13,2011,"35,000 to 39,999",Kings,2337,1044,1032,3380,"87,377,000","572,000"
14,2011,"40,000 to 49,999",Kings,3517,1813,1956,4644,"157,533,000","1,381,000"
15,2011,"50,000 to 59,999",Kings,2622,1516,1967,3220,"143,447,000","1,761,000"
16,2011,"60,000 to 69,999",Kings,2060,1323,1786,2534,"133,349,000","2,159,000"
17,2011,"70,000 to 79,999",Kings,1541,1137,1430,1931,"115,241,000","2,221,000"
18,2011,"80,000 to 89,999",Kings,1196,936,1156,1481,"101,561,000","2,345,000"
19,2011,"90,000 to 99,999",Kings,937,767,917,1151,"88,999,000","2,375,000"
20,2011,"100,000 to 149,999",Kings,2376,2125,2359,2911,"284,267,000","10,038,000"
21,2011,"150,000 to 199,999",Kings,693,629,689,767,"117,609,000","5,858,000"
22,2011,"200,000 to 299,999",Kings,310,282,310,292,"73,307,000","4,330,000"
23,2011,"300,000 to 399,999",Kings,87,72,85,85,"29,717,000","2,031,000"
24,2011,"400,000 to 499,999",Kings,40,36,,30,"17,800,000","1,260,000"
25,2011,"500,000 to 999,999",Kings,61,53,61,50,"41,966,000","2,937,000"
26,2011,"1,000,000 and over",Kings,49,37,49,34,"143,430,000","10,645,000"
1,2011,Zero and Deficit,Lake,662,270,21,138,"-34,055,000","5,000"
2,2011,"1 to 2,999",Lake,927,197,29,223,"1,165,000",0
3,2011,"3,000 to 5,999",Lake,889,145,99,275,"4,028,000","2,000"
4,2011,"6,000 to 8,999",Lake,1042,199,87,417,"7,804,000","4,000"
5,2011,"9,000 to 11,999",Lake,1177,243,54,623,"12,299,000","3,000"
6,2011,"12,000 to 14,999",Lake,1167,255,212,725,"15,742,000","8,000"
7,2011,"15,000 to 17,999",Lake,1195,324,362,796,"19,688,000","25,000"
8,2011,"18,000 to 20,999",Lake,1188,346,470,806,"23,177,000","49,000"
9,2011,"21,000 to 23,999",Lake,1010,328,398,787,"22,679,000","65,000"
10,2011,"24,000 to 26,999",Lake,1011,365,396,790,"25,719,000","95,000"
11,2011,"27,000 to 29,999",Lake,950,358,414,755,"27,107,000","130,000"
12,2011,"30,000 to 34,999",Lake,1346,580,655,1111,"43,600,000","271,000"
13,2011,"35,000 to 39,999",Lake,1116,489,642,867,"41,848,000","340,000"
14,2011,"40,000 to 49,999",Lake,1704,887,1193,1294,"76,316,000","845,000"
15,2011,"50,000 to 59,999",Lake,1249,755,1048,921,"68,460,000","1,004,000"
16,2011,"60,000 to 69,999",Lake,928,621,855,694,"60,198,000","1,136,000"
17,2011,"70,000 to 79,999",Lake,730,552,709,580,"54,742,000","1,180,000"
18,2011,"80,000 to 89,999",Lake,561,432,547,432,"47,642,000","1,222,000"
19,2011,"90,000 to 99,999",Lake,472,382,470,354,"44,825,000","1,349,000"
20,2011,"100,000 to 149,999",Lake,1171,961,1167,879,"139,661,000","5,465,000"
21,2011,"150,000 to 199,999",Lake,332,294,330,197,"56,215,000","2,865,000"
22,2011,"200,000 to 299,999",Lake,164,134,163,112,"38,808,000","2,339,000"
23,2011,"300,000 to 399,999",Lake,44,33,43,30,"15,093,000","1,029,000"
24,2011,"400,000 to 499,999",Lake,22,19,22,15,"9,539,000","672,000"
25,2011,"500,000 to 999,999",Lake,,,,13,"12,035,000","930,000"
26,2011,"1,000,000 and over",Lake,,,,11,"10,105,000","920,000"
1,2011,Zero and Deficit,Lassen,174,78,,48,"-10,050,000","1,000"
2,2011,"1 to 2,999",Lassen,327,62,12,93,"439,000",0
3,2011,"3,000 to 5,999",Lassen,320,33,77,110,"1,462,000","1,000"
4,2011,"6,000 to 8,999",Lassen,356,53,71,127,"2,669,000","4,000"
5,2011,"9,000 to 11,999",Lassen,348,58,45,123,"3,660,000","4,000"
6,2011,"12,000 to 14,999",Lassen,374,80,86,183,"5,048,000","4,000"
7,2011,"15,000 to 17,999",Lassen,347,80,141,174,"5,722,000","8,000"
8,2011,"18,000 to 20,999",Lassen,357,96,168,194,"6,959,000","16,000"
9,2011,"21,000 to 23,999",Lassen,366,93,170,206,"8,217,000","29,000"
10,2011,"24,000 to 26,999",Lassen,356,104,178,206,"9,081,000","48,000"
11,2011,"27,000 to 29,999",Lassen,326,116,163,186,"9,242,000","53,000"
12,2011,"30,000 to 34,999",Lassen,501,208,272,303,"16,251,000","119,000"
13,2011,"35,000 to 39,999",Lassen,490,202,310,299,"18,380,000","173,000"
14,2011,"40,000 to 49,999",Lassen,858,401,645,566,"38,567,000","491,000"
15,2011,"50,000 to 59,999",Lassen,758,421,656,573,"41,418,000","667,000"
16,2011,"60,000 to 69,999",Lassen,680,431,625,587,"44,055,000","856,000"
17,2011,"70,000 to 79,999",Lassen,539,373,520,434,"40,257,000","985,000"
18,2011,"80,000 to 89,999",Lassen,417,336,410,420,"35,393,000","915,000"
19,2011,"90,000 to 99,999",Lassen,343,284,342,364,"32,438,000","923,000"
20,2011,"100,000 to 149,999",Lassen,879,810,877,896,"104,415,000","3,797,000"
21,2011,"150,000 to 199,999",Lassen,171,160,170,163,"28,474,000","1,393,000"
22,2011,"200,000 to 299,999",Lassen,63,58,63,44,"14,910,000","920,000"
23,2011,"300,000 to 399,999",Lassen,18,16,18,,"6,115,000","439,000"
24,2011,"400,000 to 499,999",Lassen,,,,,"920,000","71,000"
25,2011,"500,000 to 999,999",Lassen,,,,0,"1,630,000","85,000"
26,2011,"1,000,000 and over",Lassen,0,0,0,0,0,0
1,2011,Zero and Deficit,Los Angeles,71720,19407,1495,22578,"-9,372,477,000","1,009,000"
2,2011,"1 to 2,999",Los Angeles,167915,17611,7333,31148,"209,624,000","252,000"
3,2011,"3,000 to 5,999",Los Angeles,163888,16807,28083,40690,"745,576,000","784,000"
4,2011,"6,000 to 8,999",Los Angeles,193120,22711,26498,81172,"1,458,564,000","1,447,000"
5,2011,"9,000 to 11,999",Los Angeles,234760,31923,17866,153451,"2,448,739,000","1,560,000"
6,2011,"12,000 to 14,999",Los Angeles,227432,37186,41958,200426,"3,065,663,000","2,256,000"
7,2011,"15,000 to 17,999",Los Angeles,226280,41300,72184,221194,"3,727,101,000","4,713,000"
8,2011,"18,000 to 20,999",Los Angeles,203091,42234,77995,191117,"3,954,497,000","8,341,000"
9,2011,"21,000 to 23,999",Los Angeles,186463,43242,72596,184654,"4,191,440,000","12,810,000"
10,2011,"24,000 to 26,999",Los Angeles,167559,41312,70225,164261,"4,266,436,000","18,478,000"
11,2011,"27,000 to 29,999",Los Angeles,152716,39580,67373,149917,"4,349,205,000","23,631,000"
